# time S I R
0.000000 1000 1 0
0.041021 999 2 0
7.952922 999 1 1
8.013459 998 2 1
8.028569 997 3 1
9.633509 996 4 1
14.742116 996 3 2
18.515521 995 4 2
19.639232 995 3 3
20.120038 995 2 4
27.351967 994 3 4
27.487196 993 4 4
28.907053 992 5 4
31.411944 992 4 5
32.255759 991 5 5
33.311589 990 6 5
34.497894 989 7 5
34.816702 989 6 6
35.761200 988 7 6
37.631241 987 8 6
38.015867 987 7 7
38.986291 986 8 7
39.738827 985 9 7
40.687284 984 10 7
41.934202 983 11 7
42.856597 983 10 8
43.431886 982 11 8
43.829710 982 10 9
43.904711 981 11 9
45.181128 980 12 9
45.594512 979 13 9
46.262041 978 14 9
46.695401 977 15 9
46.724268 976 16 9
46.941785 976 15 10
46.952653 975 16 10
47.632387 974 17 10
47.743721 973 18 10
47.916581 972 19 10
48.474182 971 20 10
48.491067 970 21 10
48.497406 969 22 10
48.521749 968 23 10
48.611339 968 22 11
48.761981 968 21 12
49.194012 968 20 13
49.249145 967 21 13
49.564333 967 20 14
49.872493 967 19 15
50.261144 966 20 15
50.748929 965 21 15
50.836400 964 22 15
50.970086 964 21 16
51.080058 964 20 17
51.219988 963 21 17
51.225074 962 22 17
51.426362 962 21 18
51.880118 961 22 18
52.033622 961 21 19
52.796760 960 22 19
52.932042 959 23 19
53.081690 959 22 20
53.284448 958 23 20
53.485924 957 24 20
53.643588 957 23 21
53.811445 957 22 22
53.916922 956 23 22
54.334437 956 22 23
54.929377 955 23 23
55.341114 954 24 23
55.852176 953 25 23
56.523216 953 24 24
56.616972 952 25 24
57.120699 951 26 24
57.541725 950 27 24
57.685349 950 26 25
58.031369 949 27 25
58.514108 948 28 25
59.514270 947 29 25
59.543390 946 30 25
59.766669 946 29 26
60.095598 946 28 27
60.667469 946 27 28
60.783813 945 28 28
61.395239 944 29 28
61.638767 943 30 28
61.786057 943 29 29
61.966055 943 28 30
62.087637 942 29 30
62.134533 941 30 30
62.583381 940 31 30
62.696282 939 32 30
62.700053 938 33 30
62.728487 937 34 30
62.839751 936 35 30
63.166655 936 34 31
63.312059 935 35 31
63.317491 935 34 32
63.653953 934 35 32
63.753687 933 36 32
64.289527 932 37 32
64.290549 931 38 32
64.320958 930 39 32
64.426372 929 40 32
64.554224 928 41 32
64.756987 928 40 33
64.850619 927 41 33
65.225268 926 42 33
65.341823 925 43 33
65.397091 925 42 34
65.690078 924 43 34
65.776480 924 42 35
65.812207 924 41 36
66.023608 923 42 36
66.134857 922 43 36
66.327458 921 44 36
66.342558 920 45 36
66.741039 919 46 36
66.749507 919 45 37
66.979135 918 46 37
67.006827 918 45 38
67.073871 917 46 38
67.212062 916 47 38
67.324156 915 48 38
67.366519 915 47 39
67.449163 914 48 39
67.558736 913 49 39
67.611071 912 50 39
67.726891 912 49 40
67.772009 912 48 41
67.951721 912 47 42
68.107197 911 48 42
68.166630 911 47 43
68.269534 910 48 43
68.418758 910 47 44
68.442423 910 46 45
68.585681 909 47 45
68.606199 909 46 46
68.854784 908 47 46
68.947311 908 46 47
68.964767 907 47 47
69.125799 906 48 47
69.143670 905 49 47
69.216299 905 48 48
69.263790 904 49 48
69.297986 903 50 48
69.399107 902 51 48
69.424160 902 50 49
69.496648 901 51 49
69.774168 900 52 49
69.914424 899 53 49
70.098939 898 54 49
70.398628 897 55 49
70.405667 896 56 49
70.568860 896 55 50
70.628138 896 54 51
70.788406 895 55 51
70.807766 895 54 52
70.893526 895 53 53
70.910520 894 54 53
71.116214 894 53 54
71.126011 894 52 55
71.161106 893 53 55
71.324032 892 54 55
71.544898 892 53 56
71.574122 891 54 56
71.586468 891 53 57
71.629964 890 54 57
71.908831 890 53 58
71.935244 889 54 58
71.987277 889 53 59
72.071272 888 54 59
72.149217 887 55 59
72.156784 887 54 60
72.355772 887 53 61
72.436540 886 54 61
72.489701 885 55 61
72.560384 885 54 62
72.643410 884 55 62
72.677468 883 56 62
72.936980 882 57 62
73.085628 881 58 62
73.127700 880 59 62
73.548651 879 60 62
73.570863 879 59 63
73.678330 878 60 63
73.913272 877 61 63
73.992931 876 62 63
74.079272 875 63 63
74.192637 875 62 64
74.263770 874 63 64
74.512293 873 64 64
74.783465 872 65 64
74.994745 871 66 64
75.007842 870 67 64
75.040527 870 66 65
75.155983 869 67 65
75.251070 868 68 65
75.433944 867 69 65
75.528941 867 68 66
75.549131 866 69 66
75.600753 865 70 66
75.800587 864 71 66
75.932165 864 70 67
76.183793 864 69 68
76.194206 864 68 69
76.224032 863 69 69
76.289222 862 70 69
76.329352 861 71 69
76.878822 861 70 70
76.922973 860 71 70
77.107949 859 72 70
77.109834 858 73 70
77.124227 857 74 70
77.203605 856 75 70
77.261557 856 74 71
77.268702 855 75 71
77.397454 854 76 71
77.409923 854 75 72
77.738924 853 76 72
77.782385 852 77 72
77.911236 851 78 72
77.925851 850 79 72
78.050548 849 80 72
78.063707 848 81 72
78.130690 847 82 72
78.215883 846 83 72
78.281480 845 84 72
78.367318 844 85 72
78.456062 844 84 73
78.543953 843 85 73
78.582689 842 86 73
78.734335 842 85 74
78.872564 841 86 74
78.994705 841 85 75
79.066278 840 86 75
79.111829 840 85 76
79.291360 840 84 77
79.343867 839 85 77
79.489835 839 84 78
79.598641 838 85 78
79.609062 838 84 79
79.701102 837 85 79
79.749531 836 86 79
79.934558 835 87 79
79.981448 834 88 79
80.038173 834 87 80
80.138687 833 88 80
80.156405 833 87 81
80.288666 832 88 81
80.300673 831 89 81
80.339433 830 90 81
80.377916 829 91 81
80.524810 828 92 81
80.629500 827 93 81
80.659372 826 94 81
80.674742 825 95 81
80.729492 824 96 81
80.778368 823 97 81
80.793618 823 96 82
80.793935 822 97 82
80.935909 822 96 83
81.075719 821 97 83
81.107058 821 96 84
81.196911 820 97 84
81.419431 819 98 84
81.600223 818 99 84
81.721896 817 100 84
81.753394 817 99 85
82.117298 816 100 85
82.247603 815 101 85
82.284541 815 100 86
82.330707 814 101 86
82.373403 814 100 87
82.407407 814 99 88
82.635127 814 98 89
82.933581 814 97 90
82.959285 814 96 91
83.043256 814 95 92
83.141602 813 96 92
83.216548 812 97 92
83.277138 812 96 93
83.277807 811 97 93
83.393664 811 96 94
83.411175 811 95 95
83.524345 810 96 95
83.688536 809 97 95
83.793722 808 98 95
83.815798 808 97 96
83.911175 807 98 96
84.103497 807 97 97
84.148023 807 96 98
84.215836 807 95 99
84.230181 806 96 99
84.250776 805 97 99
84.367472 804 98 99
84.373175 803 99 99
84.532855 802 100 99
84.616731 801 101 99
84.724121 801 100 100
84.795197 800 101 100
84.857537 799 102 100
84.883872 798 103 100
84.948057 797 104 100
84.950187 796 105 100
84.959867 795 106 100
85.265002 794 107 100
85.404334 794 106 101
85.434329 794 105 102
85.641135 794 104 103
85.649561 793 105 103
85.650334 792 106 103
85.842119 791 107 103
85.865938 790 108 103
85.899199 789 109 103
85.996420 788 110 103
86.403143 787 111 103
86.544330 787 110 104
86.650899 786 111 104
86.725691 785 112 104
86.730110 784 113 104
86.784568 784 112 105
86.870701 783 113 105
87.132341 782 114 105
87.195534 781 115 105
87.202009 780 116 105
87.211190 780 115 106
87.250589 779 116 106
87.372017 778 117 106
87.380994 777 118 106
87.539369 776 119 106
87.559347 775 120 106
87.619269 774 121 106
87.631909 774 120 107
87.655390 774 119 108
87.675231 773 120 108
87.707441 772 121 108
87.830861 771 122 108
87.877146 771 121 109
87.883267 771 120 110
87.926431 770 121 110
87.935469 769 122 110
87.968973 769 121 111
88.030072 768 122 111
88.046548 767 123 111
88.151122 767 122 112
88.177789 766 123 112
88.206700 765 124 112
88.241055 765 123 113
88.242213 765 122 114
88.250510 765 121 115
88.265142 765 120 116
88.382949 765 119 117
88.578339 764 120 117
88.584774 763 121 117
88.585656 762 122 117
88.717830 761 123 117
88.776915 761 122 118
88.803599 761 121 119
88.862924 760 122 119
88.887243 759 123 119
88.974851 758 124 119
